n;Driver;DriverNumber;LapNumber;Stint;SpeedI1;SpeedI2;SpeedFL;SpeedST;IsPersonalBest;Compound;TyreLife;FreshTyre;Team;TrackStatus;Position;Deleted;DeletedReason;LapTimeSeconds;PitOutTimeSeconds;PitInTimeSeconds;Sector1TimeSeconds;Sector2TimeSeconds;Sector3TimeSeconds;LapStartTimeSinceStartSeconds;LapEndTimeSinceStartSeconds;Sector1TimeSinceStartSeconds;Sector2TimeSinceStartSeconds;Sector3TimeSinceStartSeconds
251;ALO;14;66;4;275;285;285;303;True;SOFT;15;False;Aston Martin;1;10;False;;78,128;;;22,956;31,621;23,551;5521,066;5599,194;5544,052;5575,673;5599,224
252;LEC;16;1;1;251;266;281;291;False;SOFT;2;False;Ferrari;1;5;False;;86,275;;;;33,173;24,382;0;86,53;;62,191;87,183
253;LEC;16;2;1;257;278;279;307;True;SOFT;3;False;Ferrari;1;5;False;;81,421;;;24,415;32,96;24,046;86,53;167,951;110,988;143,948;167,994
254;LEC;16;3;1;266;280;280;309;True;SOFT;4;False;Ferrari;1;5;False;;80,809;;;24,264;32,473;24,072;167,951;248,76;192,258;224,731;248,803
255;LEC;16;4;1;267;278;280;308;True;SOFT;5;False;Ferrari;1;5;False;;80,725;;;23,886;32,381;24,458;248,76;329,485;272,689;305,07;329,528
256;LEC;16;5;1;259;284;283;311;False;SOFT;6;False;Ferrari;1;5;False;;80,75;;;23,909;32,475;24,366;329,485;410,235;353,437;385,912;410,278
257;LEC;16;6;1;257;254;283;329;False;SOFT;7;False;Ferrari;1;5;False;;81,368;;;23,784;32,764;24,82;410,235;491,603;434,062;466,826;491,646
258;LEC;16;7;1;250;277;282;332;False;SOFT;8;False;Ferrari;1;5;False;;81,722;;;24,036;33,025;24,661;491,603;573,325;515,682;548,707;573,368
259;LEC;16;8;1;251;267;285;326;False;SOFT;9;False;Ferrari;1;5;False;;81,841;;;23,946;33,269;24,626;573,325;655,166;597,314;630,583;655,209
260;LEC;16;9;1;257;279;282;333;False;SOFT;10;False;Ferrari;1;5;False;;82,127;;;24,302;33,121;24,704;655,166;737,293;679,511;712,632;737,336
261;LEC;16;10;1;269;279;279;327;False;SOFT;11;False;Ferrari;1;4;False;;81,028;;;23,929;32,569;24,53;737,293;818,321;761,265;793,834;818,364
262;LEC;16;11;1;264;272;279;307;False;SOFT;12;False;Ferrari;1;4;False;;81,004;;;23,86;32,687;24,457;818,321;899,325;842,224;874,911;899,368
263;LEC;16;12;1;272;279;280;309;False;SOFT;13;False;Ferrari;1;4;False;;81,086;;;23,835;32,656;24,595;899,325;980,411;923,203;955,859;980,454
264;LEC;16;13;1;;281;277;;False;SOFT;14;False;Ferrari;1;4;False;;81,406;;;24,084;32,653;24,669;980,411;1061,817;1004,538;1037,191;1061,86
265;LEC;16;14;1;;274;277;308;False;SOFT;15;False;Ferrari;1;3;False;;81,341;;;24;32,653;24,688;1061,817;1143,158;1085,86;1118,513;1143,201
266;LEC;16;15;1;266;280;278;306;False;SOFT;16;False;Ferrari;1;3;False;;81,7;;;24,108;32,807;24,785;1143,158;1224,858;1167,309;1200,116;1224,901
267;LEC;16;16;1;272;285;278;307;False;SOFT;17;False;Ferrari;1;3;False;;81,481;;;24,114;32,767;24,6;1224,858;1306,339;1249,015;1281,782;1306,382
268;LEC;16;17;1;273;284;;308;False;SOFT;18;False;Ferrari;1;3;False;;85,153;;4942,089;24,018;32,833;28,302;1306,339;1391,492;1330,4;1363,233;1391,535
269;LEC;16;18;2;264;272;279;255;False;MEDIUM;1;True;Ferrari;1;7;False;;99,171;4966,677;;42,623;32,349;24,199;1391,492;1490,663;1434,158;1466,507;1490,706
270;LEC;16;19;2;271;267;279;306;True;MEDIUM;2;True;Ferrari;1;6;False;;80,585;;;23,839;32,303;24,443;1490,663;1571,248;1514,545;1546,848;1571,291
271;LEC;16;20;2;273;278;280;305;False;MEDIUM;3;True;Ferrari;1;6;False;;80,775;;;24,071;32,439;24,265;1571,248;1652,023;1595,362;1627,801;1652,066
272;LEC;16;21;2;274;285;280;;True;MEDIUM;4;True;Ferrari;1;5;False;;80,107;;;23,719;32,203;24,185;1652,023;1732,13;1675,785;1707,988;1732,173
273;LEC;16;22;2;271;284;281;306;True;MEDIUM;5;True;Ferrari;1;4;False;;79,918;;;23,675;32,221;24,022;1732,13;1812,048;1755,848;1788,069;1812,091
274;LEC;16;23;2;273;285;282;308;True;MEDIUM;6;True;Ferrari;1;4;False;;79,467;;;23,588;31,959;23,92;1812,048;1891,515;1835,679;1867,638;1891,558
275;LEC;16;24;2;278;286;280;309;False;MEDIUM;7;True;Ferrari;1;4;False;;79,578;;;23,503;32,016;24,059;1891,515;1971,093;1915,061;1947,077;1971,136
276;LEC;16;25;2;280;289;280;308;False;MEDIUM;8;True;Ferrari;1;4;False;;79,611;;;23,536;32,003;24,072;1971,093;2050,704;1994,672;2026,675;2050,747
277;LEC;16;26;2;277;283;282;310;False;MEDIUM;9;True;Ferrari;1;4;False;;79,983;;;23,689;32,134;24,16;2050,704;2130,687;2074,436;2106,57;2130,73
278;LEC;16;27;2;280;290;281;;False;MEDIUM;10;True;Ferrari;1;4;False;;79,981;;;23,649;32,184;24,148;2130,687;2210,668;2154,379;2186,563;2210,711
279;LEC;16;28;2;274;287;281;311;False;MEDIUM;11;True;Ferrari;1;4;False;;80,061;;;23,718;32,152;24,191;2210,668;2290,729;2234,429;2266,581;2290,772
280;LEC;16;29;2;277;287;282;310;False;MEDIUM;12;True;Ferrari;1;4;False;;79,979;;;23,653;32,127;24,199;2290,729;2370,708;2314,425;2346,552;2370,751
281;LEC;16;30;2;278;289;280;;False;MEDIUM;13;True;Ferrari;1;3;False;;80,088;;;23,604;32,295;24,189;2370,708;2450,796;2394,355;2426,65;2450,839
282;LEC;16;31;2;281;290;283;311;False;MEDIUM;14;True;Ferrari;1;3;False;;80,085;;;23,605;32,263;24,217;2450,796;2530,881;2474,444;2506,707;2530,924
283;LEC;16;32;2;268;279;281;;False;MEDIUM;15;True;Ferrari;1;3;False;;80,007;;;23,723;32,15;24,134;2530,881;2610,888;2554,647;2586,797;2610,931
284;LEC;16;33;2;269;277;281;;False;MEDIUM;16;True;Ferrari;1;3;False;;80,24;;;23,794;32,231;24,215;2610,888;2691,128;2634,725;2666,956;2691,171
285;LEC;16;34;2;275;288;281;310;False;MEDIUM;17;True;Ferrari;1;3;False;;80,338;;;23,804;32,2;24,334;2691,128;2771,466;2714,975;2747,175;2771,509
286;LEC;16;35;2;277;279;282;311;False;MEDIUM;18;True;Ferrari;1;3;False;;80,399;;;23,743;32,341;24,315;2771,466;2851,865;2795,252;2827,593;2851,908
287;LEC;16;36;2;271;282;283;;False;MEDIUM;19;True;Ferrari;1;4;False;;81,159;;;24,108;32,596;24,455;2851,865;2933,024;2876,016;2908,612;2933,067
288;LEC;16;37;2;264;290;282;318;False;MEDIUM;20;True;Ferrari;1;4;False;;81,111;;;23,951;32,602;24,558;2933,024;3014,135;2957,018;2989,62;3014,178
289;LEC;16;38;2;269;282;283;312;False;MEDIUM;21;True;Ferrari;1;4;False;;80,825;;;23,865;32,37;24,59;3014,135;3094,96;3038,043;3070,413;3095,003
290;LEC;16;39;2;275;287;282;313;False;MEDIUM;22;True;Ferrari;1;4;False;;80,912;;;23,848;32,525;24,539;3094,96;3175,872;3118,851;3151,376;3175,915
291;LEC;16;40;2;279;285;;312;False;MEDIUM;23;True;Ferrari;1;4;False;;85,756;;6812,336;23,91;33,227;28,619;3175,872;3261,628;3199,825;3233,052;3261,671
292;LEC;16;41;3;270;272;281;257;False;MEDIUM;1;True;Ferrari;1;6;False;;98,564;6834,134;;42,647;31,939;23,978;3261,628;3360,192;3304,318;3336,257;3360,235
293;LEC;16;42;3;276;282;282;308;True;MEDIUM;2;True;Ferrari;1;5;False;;79,354;;;23,708;31,802;23,844;3360,192;3439,546;3383,943;3415,745;3439,589
294;LEC;16;43;3;270;272;281;309;False;MEDIUM;3;True;Ferrari;1;5;False;;79,57;;;23,595;31,932;24,043;3439,546;3519,116;3463,184;3495,116;3519,159
295;LEC;16;44;3;269;281;284;308;True;MEDIUM;4;True;Ferrari;1;5;False;;79,321;;;23,583;31,942;23,796;3519,116;3598,437;3542,742;3574,684;3598,48
296;LEC;16;45;3;277;284;284;311;True;MEDIUM;5;True;Ferrari;1;5;False;;79,181;;;23,531;31,79;23,86;3598,437;3677,618;3622,011;3653,801;3677,661
297;LEC;16;46;3;265;266;283;313;False;MEDIUM;6;True;Ferrari;1;5;False;;79,877;;;23,571;32,171;24,135;3677,618;3757,495;3701,232;3733,403;3757,538
298;LEC;16;47;3;270;271;285;314;False;MEDIUM;7;True;Ferrari;1;4;False;;79,806;;;23,65;32,105;24,051;3757,495;3837,301;3781,188;3813,293;3837,344
299;LEC;16;48;3;266;281;285;;False;MEDIUM;8;True;Ferrari;1;4;False;;79,304;;;23,41;31,928;23,966;3837,301;3916,605;3860,754;3892,682;3916,648
300;LEC;16;49;3;275;289;285;315;False;MEDIUM;9;True;Ferrari;1;4;False;;79,735;;;23,596;32,049;24,09;3916,605;3996,34;3940,244;3972,293;3996,383
301;LEC;16;50;3;279;290;283;;False;MEDIUM;10;True;Ferrari;1;4;False;;79,697;;;23,556;31,978;24,163;3996,34;4076,037;4019,939;4051,917;4076,08
302;LEC;16;51;3;283;288;285;314;False;MEDIUM;11;True;Ferrari;1;4;False;;79,815;;;23,487;32,045;24,283;4076,037;4155,852;4099,567;4131,612;4155,895
303;LEC;16;52;3;276;284;284;;False;MEDIUM;12;True;Ferrari;1;4;False;;79,831;;;23,368;32,181;24,282;4155,852;4235,683;4179,263;4211,444;4235,726
304;LEC;16;53;3;275;280;285;313;False;MEDIUM;13;True;Ferrari;1;4;False;;79,674;;;23,479;31,983;24,212;4235,683;4315,357;4259,205;4291,188;4315,4
305;LEC;16;54;3;;292;286;312;False;MEDIUM;14;True;Ferrari;1;4;False;;79,826;;;23,472;32,271;24,083;4315,357;4395,183;4338,872;4371,143;4395,226
306;LEC;16;55;3;270;184;;313;False;MEDIUM;15;True;Ferrari;124;4;False;;101,931;;8047,841;24,319;43,486;34,126;4395,183;4497,114;4419,545;4463,031;4497,157
307;LEC;16;56;4;218;122;153;258;False;SOFT;4;False;Ferrari;4;4;False;;127,848;8070,183;;47,589;45,192;35,067;4497,114;4624,962;4544,746;4589,938;4625,005
308;LEC;16;57;4;177;141;121;164;False;SOFT;5;False;Ferrari;4;4;False;;127,268;;;37,623;49,788;39,857;4624,962;4752,23;4662,628;4712,416;4752,273
309;LEC;16;58;4;209;114;107;158;False;SOFT;6;False;Ferrari;4;4;False;;123,766;;;36,938;49,075;37,753;4752,23;4875,996;4789,211;4838,286;4876,039
310;LEC;16;59;4;215;215;170;260;False;SOFT;7;False;Ferrari;4;4;False;;122,937;;;37,634;48,276;37,027;4875,996;4998,933;4913,673;4961,949;4998,976
311;LEC;16;60;4;170;143;291;267;False;SOFT;8;False;Ferrari;41;4;False;;120,826;;;35,26;45,613;39,953;4998,933;5119,759;5034,236;5079,849;5119,802
312;LEC;16;61;4;279;288;286;307;True;SOFT;9;False;Ferrari;1;3;False;;77,547;;;23,28;31,168;23,099;5119,759;5197,306;5143,082;5174,25;5197,349
313;LEC;16;62;4;283;284;286;308;True;SOFT;10;False;Ferrari;1;3;False;;77,259;;;22,833;31,092;23,334;5197,306;5274,565;5220,182;5251,274;5274,608
314;LEC;16;63;4;281;288;286;311;False;SOFT;11;False;Ferrari;1;3;False;;77,609;;;22,894;31,197;23,518;5274,565;5352,174;5297,502;5328,699;5352,217
315;LEC;16;64;4;280;290;285;;False;SOFT;12;False;Ferrari;1;3;False;;78,13;;;23,057;31,475;23,598;5352,174;5430,304;5375,274;5406,749;5430,347
316;LEC;16;65;4;282;283;284;;False;SOFT;13;False;Ferrari;1;3;False;;78,644;;;23,05;31,685;23,909;5430,304;5508,948;5453,397;5485,082;5508,991
317;LEC;16;66;4;281;284;267;310;False;SOFT;14;False;Ferrari;1;3;False;;79,137;;;23,283;31,853;24,001;5508,948;5588,085;5532,274;5564,127;5588,128
318;TSU;22;1;1;249;248;279;248;False;MEDIUM;1;True;Red Bull Racing;1;19;False;;93,614;3563,884;;;33,422;24,875;0;93,869;;69,052;94,23
319;TSU;22;2;1;250;256;277;310;True;MEDIUM;2;True;Red Bull Racing;1;19;False;;83,482;;;24,492;33,757;25,233;93,869;177,351;118,369;152,126;177,359
320;TSU;22;3;1;248;251;282;337;True;MEDIUM;3;True;Red Bull Racing;1;19;False;;83,005;;;24,256;33,736;25,013;177,351;260,356;201,615;235,351;260,364
321;TSU;22;4;1;253;253;282;;True;MEDIUM;4;True;Red Bull Racing;1;19;False;;82,585;;;24,079;33,591;24,915;260,356;342,941;284,443;318,034;342,949
322;TSU;22;5;1;248;263;281;;True;MEDIUM;5;True;Red Bull Racing;1;19;False;;82,249;;;23,834;33,353;25,062;342,941;425,19;366,783;400,136;425,198
323;TSU;22;6;1;;262;280;338;False;MEDIUM;6;True;Red Bull Racing;1;19;False;;82,86;;;24,134;33,568;25,158;425,19;508,05;449,332;482,9;508,058
324;TSU;22;7;1;;253;283;;False;MEDIUM;7;True;Red Bull Racing;1;18;False;;82,95;;;24,038;33,791;25,121;508,05;591;532,096;565,887;591,008
325;TSU;22;8;1;249;268;;336;False;MEDIUM;8;True;Red Bull Racing;1;18;False;;87,017;;4228,681;24,167;33,996;28,854;591;678,017;615,175;649,171;678,025
326;TSU;22;9;2;248;277;282;251;False;SOFT;1;True;Red Bull Racing;1;19;False;;98,978;4250,536;;42,68;32,185;24,113;678,017;776,995;720,705;752,89;777,003
327;TSU;22;10;2;263;277;278;333;True;SOFT;2;True;Red Bull Racing;1;17;False;;79,888;;;23,565;32,32;24,003;776,995;856,883;800,568;832,888;856,891
328;TSU;22;11;2;264;271;279;308;False;SOFT;3;True;Red Bull Racing;1;17;False;;80,645;;;23,847;32,472;24,326;856,883;937,528;880,738;913,21;937,536
329;TSU;22;12;2;260;268;278;309;False;SOFT;4;True;Red Bull Racing;1;17;False;;81,574;;;24,139;32,804;24,631;937,528;1019,102;961,675;994,479;1019,11
330;TSU;22;13;2;253;272;278;;False;SOFT;5;True;Red Bull Racing;1;17;False;;81,933;;;24,248;33,101;24,584;1019,102;1101,035;1043,358;1076,459;1101,043
331;TSU;22;14;2;262;269;278;310;False;SOFT;6;True;Red Bull Racing;1;17;False;;81,887;;;24,082;33,021;24,784;1101,035;1182,922;1125,125;1158,146;1182,93
332;TSU;22;15;2;263;272;279;311;False;SOFT;7;True;Red Bull Racing;1;16;False;;81,715;;;24,132;32,873;24,71;1182,922;1264,637;1207,062;1239,935;1264,645
333;TSU;22;16;2;;268;275;310;False;SOFT;8;True;Red Bull Racing;1;15;False;;81,566;;;23,962;32,888;24,716;1264,637;1346,203;1288,607;1321,495;1346,211
334;TSU;22;17;2;266;276;277;311;False;SOFT;9;True;Red Bull Racing;1;15;False;;81,943;;;24,03;33,146;24,767;1346,203;1428,146;1370,241;1403,387;1428,154
335;TSU;22;18;2;261;272;279;;False;SOFT;10;True;Red Bull Racing;1;15;False;;81,991;;;24,196;33,144;24,651;1428,146;1510,137;1452,35;1485,494;1510,145
336;TSU;22;19;2;264;272;279;;False;SOFT;11;True;Red Bull Racing;1;14;False;;82,216;;;24,122;33,199;24,895;1510,137;1592,353;1534,267;1567,466;1592,361
337;TSU;22;20;2;260;261;279;313;False;SOFT;12;True;Red Bull Racing;1;13;False;;82,926;;;24,244;33,599;25,083;1592,353;1675,279;1616,605;1650,204;1675,287
338;TSU;22;21;2;257;274;280;314;False;SOFT;13;True;Red Bull Racing;1;12;False;;82,496;;;24,271;33,378;24,847;1675,279;1757,775;1699,558;1732,936;1757,783
339;TSU;22;22;2;256;273;279;313;False;SOFT;14;True;Red Bull Racing;1;12;False;;82,253;;;24,163;33,276;24,814;1757,775;1840,028;1781,946;1815,222;1840,036
340;TSU;22;23;2;262;276;279;;False;SOFT;15;True;Red Bull Racing;1;12;False;;82,452;;;24,048;33,493;24,911;1840,028;1922,48;1864,084;1897,577;1922,488
341;TSU;22;24;2;257;269;;;False;SOFT;16;True;Red Bull Racing;1;15;False;;86,048;;5559,185;24,234;33,403;28,411;1922,48;2008,528;1946,722;1980,125;2008,536
342;TSU;22;25;3;259;276;282;252;False;SOFT;1;True;Red Bull Racing;1;19;False;;98,654;5581,328;;42,788;31,993;23,873;2008,528;2107,182;2051,324;2083,317;2107,19
343;TSU;22;26;3;264;271;281;309;False;SOFT;2;True;Red Bull Racing;1;19;False;;80,192;;;23,932;32,14;24,12;2107,182;2187,374;2131,122;2163,262;2187,382
344;TSU;22;27;3;266;267;281;310;False;SOFT;3;True;Red Bull Racing;1;18;False;;80,381;;;23,727;32,432;24,222;2187,374;2267,755;2211,109;2243,541;2267,763
345;TSU;22;28;3;256;271;286;311;False;SOFT;4;True;Red Bull Racing;1;18;False;;81,126;;;23,962;32,507;24,657;2267,755;2348,881;2291,725;2324,232;2348,889
346;TSU;22;29;3;262;271;282;333;False;SOFT;5;True;Red Bull Racing;1;17;False;;80,38;;;23,621;32,552;24,207;2348,881;2429,261;2372,51;2405,062;2429,269
347;TSU;22;30;3;263;273;281;311;False;SOFT;6;True;Red Bull Racing;1;17;False;;80,229;;;23,665;32,328;24,236;2429,261;2509,49;2452,934;2485,262;2509,498
348;TSU;22;31;3;267;275;280;312;False;SOFT;7;True;Red Bull Racing;1;17;False;;80,678;;;23,804;32,512;24,362;2509,49;2590,168;2533,302;2565,814;2590,176
349;TSU;22;32;3;263;273;281;313;False;SOFT;8;True;Red Bull Racing;1;16;False;;80,806;;;23,731;32,567;24,508;2590,168;2670,974;2613,907;2646,474;2670,982
350;TSU;22;33;3;262;271;282;;False;SOFT;9;True;Red Bull Racing;1;16;False;;80,949;;;23,845;32,709;24,395;2670,974;2751,923;2694,827;2727,536;2751,931
351;TSU;22;34;3;;258;286;316;False;SOFT;10;True;Red Bull Racing;1;15;False;;81,874;;;23,93;33,133;24,811;2751,923;2833,797;2775,861;2808,994;2833,805
352;TSU;22;35;3;251;270;287;339;False;SOFT;11;True;Red Bull Racing;1;15;False;;81,452;;;23,719;33,114;24,619;2833,797;2915,249;2857,524;2890,638;2915,257
353;TSU;22;36;3;249;275;287;336;False;SOFT;12;True;Red Bull Racing;1;14;False;;81,348;;;23,822;33,098;24,428;2915,249;2996,597;2939,079;2972,177;2996,605
354;TSU;22;37;3;260;266;287;;False;SOFT;13;True;Red Bull Racing;1;14;False;;81,355;;;23,7;32,93;24,725;2996,597;3077,952;3020,305;3053,235;3077,96
355;TSU;22;38;3;266;276;281;337;False;SOFT;14;True;Red Bull Racing;1;13;False;;80,98;;;23,773;32,811;24,396;3077,952;3158,932;3101,733;3134,544;3158,94
356;TSU;22;39;3;264;274;282;312;False;SOFT;15;True;Red Bull Racing;1;13;False;;81,082;;;23,846;32,741;24,495;3158,932;3240,014;3182,786;3215,527;3240,022
357;TSU;22;40;3;272;282;281;;False;SOFT;16;True;Red Bull Racing;1;13;False;;80,982;;;23,795;32,685;24,502;3240,014;3320,996;3263,817;3296,502;3321,004
358;TSU;22;41;3;264;266;281;313;False;SOFT;17;True;Red Bull Racing;1;13;False;;82,859;;;23,88;34,283;24,696;3320,996;3403,855;3344,884;3379,167;3403,863
359;TSU;22;42;3;;269;279;;False;SOFT;18;True;Red Bull Racing;1;13;False;;82,85;;;23,902;34,114;24,834;3403,855;3486,705;3427,765;3461,879;3486,713
360;TSU;22;43;3;;276;281;;False;SOFT;19;True;Red Bull Racing;1;12;False;;81,433;;;23,977;32,86;24,596;3486,705;3568,138;3510,69;3543,55;3568,146
361;TSU;22;44;3;255;275;;263;False;SOFT;20;True;Red Bull Racing;1;13;False;;87,462;;7206,313;25,817;33,299;28,346;3568,138;3655,6;3593,963;3627,262;3655,608
362;TSU;22;45;4;256;267;287;256;False;SOFT;1;True;Red Bull Racing;1;17;False;;98,22;7228,123;;42,285;32,067;23,868;3655,6;3753,82;3697,893;3729,96;3753,828
363;TSU;22;46;4;269;290;292;337;True;SOFT;2;True;Red Bull Racing;1;17;False;;77,998;;;23,164;31,43;23,404;3753,82;3831,818;3776,992;3808,422;3831,826
364;TSU;22;47;4;250;282;283;331;False;SOFT;3;True;Red Bull Racing;1;16;False;;80,209;;;24,258;32,215;23,736;3831,818;3912,027;3856,084;3888,299;3912,035
365;TSU;22;48;4;265;274;284;312;False;SOFT;4;True;Red Bull Racing;1;16;False;;79,498;;;23,51;32,055;23,933;3912,027;3991,525;3935,545;3967,6;3991,533
366;TSU;22;49;4;268;285;284;314;False;SOFT;5;True;Red Bull Racing;1;16;False;;79,133;;;23,402;31,927;23,804;3991,525;4070,658;4014,935;4046,862;4070,666
367;TSU;22;50;4;274;280;285;;False;SOFT;6;True;Red Bull Racing;1;15;False;;79,3;;;23,396;32,005;23,899;4070,658;4149,958;4094,062;4126,067;4149,966
368;TSU;22;51;4;268;272;284;315;False;SOFT;7;True;Red Bull Racing;1;15;False;;79,954;;;23,56;32,317;24,077;4149,958;4229,912;4173,526;4205,843;4229,92
369;TSU;22;52;4;266;271;284;314;False;SOFT;8;True;Red Bull Racing;1;15;False;;80,098;;;23,545;32,39;24,163;4229,912;4310,01;4253,465;4285,855;4310,018
370;TSU;22;53;4;270;277;289;315;False;SOFT;9;True;Red Bull Racing;1;15;False;;79,718;;;23,477;32,188;24,053;4310,01;4389,728;4333,495;4365,683;4389,736
371;TSU;22;54;4;251;212;;338;False;SOFT;10;True;Red Bull Racing;124;15;False;;100,175;;8040,538;24,055;42,601;33,519;4389,728;4489,903;4413,791;4456,392;4489,911
372;TSU;22;55;5;190;117;140;240;False;SOFT;4;False;Red Bull Racing;4;16;False;;133,672;8062,796;;47,955;46,699;39,018;4489,903;4623,575;4537,866;4584,565;4623,583
373;TSU;22;56;5;160;145;137;186;False;SOFT;5;False;Red Bull Racing;4;15;False;;127,288;;;38,26;49,597;39,431;4623,575;4750,863;4661,843;4711,44;4750,871
374;TSU;22;57;5;163;125;240;180;False;SOFT;6;False;Red Bull Racing;4;15;False;;115,321;;;37,002;49,109;29,21;4750,863;4866,184;4787,873;4836,982;4866,192
375;TSU;22;58;5;245;266;281;282;False;SOFT;7;False;Red Bull Racing;4;15;False;;82,751;;;25,069;32,977;24,705;4866,184;4948,935;4891,261;4924,238;4948,943
376;TSU;22;59;5;246;247;281;312;False;SOFT;8;False;Red Bull Racing;4;15;False;;82,567;;;24,614;33,139;24,814;4948,935;5031,502;4973,557;5006,696;5031,51
377;TSU;22;60;5;264;142;283;;False;SOFT;9;False;Red Bull Racing;41;15;False;;93,117;;;24,19;35,97;32,957;5031,502;5124,619;5055,7;5091,67;5124,627
378;TSU;22;61;5;280;269;287;317;False;SOFT;10;False;Red Bull Racing;1;15;False;;81,36;;;23,936;33,105;24,319;5124,619;5205,979;5148,563;5181,668;5205,987
379;TSU;22;62;5;260;272;291;319;False;SOFT;11;False;Red Bull Racing;1;15;False;;80,396;;;23,731;32,429;24,236;5205,979;5286,375;5229,718;5262,147;5286,383
380;TSU;22;63;5;253;278;290;341;False;SOFT;12;False;Red Bull Racing;1;15;False;;80,25;;;23,383;32,615;24,252;5286,375;5366,625;5309,766;5342,381;5366,633
381;TSU;22;64;5;268;282;286;340;False;SOFT;13;False;Red Bull Racing;1;14;False;;79,526;;;23,318;32,186;24,022;5366,625;5446,151;5389,951;5422,137;5446,159
382;TSU;22;65;5;263;280;285;318;False;SOFT;14;False;Red Bull Racing;1;14;False;;80,191;;;23,467;32,522;24,202;5446,151;5526,342;5469,626;5502,148;5526,35
383;TSU;22;66;5;270;271;284;317;False;SOFT;15;False;Red Bull Racing;1;14;False;;80,11;;;23,487;32,417;24,206;5526,342;5606,452;5549,837;5582,254;5606,46
384;ALB;23;1;1;236;239;274;290;False;SOFT;4;False;Williams;1;14;False;;90,384;;;;34,517;25,338;0;90,639;;65,398;90,961
385;ALB;23;2;1;248;262;277;312;True;SOFT;5;False;Williams;1;14;False;;83,703;;;24,71;34,072;24,921;90,639;174,342;115,385;149,457;174,378
386;ALB;23;3;1;;262;279;331;True;SOFT;6;False;Williams;1;14;False;;82,585;;;24,187;33,553;24,845;174,342;256,927;198,565;232,118;256,963
387;ALB;23;4;1;250;261;278;332;True;SOFT;7;False;Williams;1;14;False;;82,127;;;24,038;33,274;24,815;256,927;339,054;281,001;314,275;339,09
388;ALB;23;5;1;245;263;276;;False;SOFT;8;False;Williams;1;14;False;;82,537;;;24,11;33,503;24,924;339,054;421,591;363,2;396,703;421,627
389;ALB;23;6;1;253;271;;;False;SOFT;9;False;Williams;1;18;False;;86,284;;4058,535;24,112;33,666;28,506;421,591;507,875;445,739;479,405;507,911
390;ALB;23;7;2;258;272;277;247;False;SOFT;1;True;Williams;1;19;False;;107,64;4089,328;;51,767;31,944;23,929;507,875;615,515;559,678;591,622;615,551
391;ALB;23;8;2;257;263;277;305;True;SOFT;2;True;Williams;1;19;False;;80,543;;;23,986;32,373;24,184;615,515;696,058;639,537;671,91;696,094
392;ALB;23;9;2;258;267;280;307;True;SOFT;3;True;Williams;1;18;False;;80,508;;;23,867;32,458;24,183;696,058;776,566;719,961;752,419;776,602
393;ALB;23;10;2;251;278;281;310;False;SOFT;4;True;Williams;1;18;False;;81,462;;;24,441;32,712;24,309;776,566;858,028;801,043;833,755;858,064
394;ALB;23;11;2;255;263;280;315;False;SOFT;5;True;Williams;1;18;False;;81,011;;;23,787;32,862;24,362;858,028;939,039;881,851;914,713;939,075
395;ALB;23;12;2;258;268;279;314;False;SOFT;6;True;Williams;1;18;False;;81,879;;;24,083;33,15;24,646;939,039;1020,918;963,158;996,308;1020,954
396;ALB;23;13;2;254;260;281;;False;SOFT;7;True;Williams;1;18;False;;81,932;;;24,115;33,153;24,664;1020,918;1102,85;1045,069;1078,222;1102,886
397;ALB;23;14;2;253;271;281;;False;SOFT;8;True;Williams;1;18;False;;81,793;;;24,091;33,228;24,474;1102,85;1184,643;1126,977;1160,205;1184,679
398;ALB;23;15;2;252;262;279;;False;SOFT;9;True;Williams;1;17;False;;81,738;;;23,962;33,071;24,705;1184,643;1266,381;1208,641;1241,712;1266,417
399;ALB;23;16;2;253;268;278;313;False;SOFT;10;True;Williams;1;16;False;;81,783;;;24,101;33,074;24,608;1266,381;1348,164;1290,518;1323,592;1348,2
400;ALB;23;17;2;257;263;280;314;False;SOFT;11;True;Williams;1;16;False;;81,649;;;23,934;33;24,715;1348,164;1429,813;1372,134;1405,134;1429,849
401;ALB;23;18;2;254;271;279;;False;SOFT;12;True;Williams;1;16;False;;81,96;;;24,086;33,314;24,56;1429,813;1511,773;1453,935;1487,249;1511,809
402;ALB;23;19;2;258;269;279;;False;SOFT;13;True;Williams;1;15;False;;81,963;;;24,165;33,098;24,7;1511,773;1593,736;1535,974;1569,072;1593,772
403;ALB;23;20;2;253;269;284;316;False;SOFT;14;True;Williams;1;14;False;;82,346;;;24,193;33,386;24,767;1593,736;1676,082;1617,965;1651,351;1676,118
404;ALB;23;21;2;248;266;283;330;False;SOFT;15;True;Williams;1;13;False;;82,44;;;24,046;33,544;24,85;1676,082;1758,522;1700,164;1733,708;1758,558
405;ALB;23;22;2;242;260;282;331;False;SOFT;16;True;Williams;1;13;False;;82,388;;;23,929;33,638;24,821;1758,522;1840,91;1782,487;1816,125;1840,946
406;ALB;23;23;2;244;260;281;333;False;SOFT;17;True;Williams;1;13;False;;82,522;;;23,892;33,845;24,785;1840,91;1923,432;1864,838;1898,683;1923,468
407;ALB;23;24;2;246;259;280;328;False;SOFT;18;True;Williams;1;12;True;TRACK LIMITS AT TURN 2 LAP 24;83,477;;;24,367;34,296;24,814;1923,432;2006,909;1947,835;1982,131;2006,945
